id_domena;domena;czy_linki;czy_telefon;czy_mail;czy_facebook
487873;magsped.4b.pl;1;0;0;0
487898;lo1.olkusz.pl;1;0;0;0
487901;zajazdpiramida.pl;1;0;0;0
487960;ksiezy-mlyn.pl;1;0;0;1
488028;www.hurtowniaklaudia.pl;1;0;0;0
488032;galeriaaudio.pl;1;0;0;0
488093;malczewska.zawiercie.powiat.pl;1;0;0;1
488146;dpsojcow.pl;1;0;0;0
488167;globikowa.republika.pl;1;0;0;0
488199;zoska.waw.pl;1;0;0;0
488227;clsmedia.pl;1;0;0;0
488245;wielun.pcpr.pl;1;0;0;0
488278;losokolka.pl;1;0;0;0
488548;antrakt.net;1;0;0;0
488586;pro-marketing.pl;1;0;0;0
488632;herbatkowo.com.pl;1;0;0;0
489035;www.jedliniok.up.wroc.pl;1;0;0;0
489050;gim.luz.prv.pl;1;0;0;0
489131;izabelpark.pl;1;0;0;1
489157;trafika-raciborz.pl;1;0;0;0
489200;kajaki.pomorskie.pl;1;0;0;0
489205;8los.pl;1;0;0;0
489220;sp1monki.pl;1;0;0;0
489358;cavern.pl;1;0;0;0
489380;antoniow.com;1;0;0;0
489419;wsieci.webfabryka.pl;1;0;0;0
489568;zspsolec.neostrada.pl;1;0;0;0
489597;zslubowo.republika.pl;1;0;0;0
489614;ersrail.com;1;0;0;0
489634;zpokopanka.edupage.org;1;0;0;0
489750;negon.pl;1;0;0;0
489755;i-tel.pl;1;0;0;0
489848;skygate.pl;1;0;0;0
489944;jubiler.sklep.pl;1;0;0;0
489958;rst.ng.pl;1;0;0;0
489976;transtelcom.pl;1;0;0;0
489989;lo2.olesnica.pl;1;0;0;0
490018;zstczeladz.prv.pl;1;0;0;0
490186;e-muszla.pl;1;0;0;0
490200;purisgroup.com;1;0;0;0
490228;zsz-ozarow.prv.pl;1;0;0;0
490324;zs-skomlin.pl;1;0;0;0
490488;www.powiatlimanowa.pl;1;0;0;0
490521;szkolasport.pl;1;0;0;0
490559;netcorp.pl;1;0;0;0
490606;zszwierzyniec.wel.pl;1;0;0;0
490616;zswj.yoyo.pl;1;0;0;0
490683;zs4ostrowiec.yoyo.pl;1;0;0;0
490764;consbud.eu;1;0;0;0
490809;episodio.pl;1;0;0;0
490821;hathajoga.com;1;0;0;0
490879;fantasy-shoes.pl;1;0;0;0
490882;dollinart.prv.pl;1;0;0;0
490914;internet.piotrkow.pl;1;0;0;0
490980;sportyflower.pl;1;0;0;0
491347;budrex.sklep.pl;1;0;0;0
492864;zloteplyty.pl;1;0;0;0
492873;domkinadsolina.bieszczadypolska.pl;1;0;0;0
492913;oprandi.pl;1;0;0;0
493021;napierala.com.pl;1;0;0;0
493071;pixent.pl;1;0;0;0
493099;zsryjewo.prv.pl;1;0;0;0
493123;bohema.art.pl;1;0;0;0
493135;gimpiensk.home.pl;1;0;0;0
493136;gim2kostrzyn.republika.pl;1;0;0;0
493195;nasze-gim.yoyo.pl;1;0;0;0
493206;gimnazjum.ruszow.pl;1;0;0;0
493239;zso.elisa.pl;1;0;0;0
493289;energopol.com.pl;1;0;0;0
493294;gim2.orzesze.pl;1;0;0;0
493343;gimnazjumkolno.pl;1;0;0;0
493370;gimgolina.pl;1;0;0;0
493410;gimspiczyn.pl;1;0;0;0
493428;jerzmanowagimnazjum1.dbv.pl;1;0;0;0
493499;www.gim1.miasto.zgierz.pl;1;0;0;1
493514;wekton.pl;1;0;0;0
493593;izba-skarbowa.bydgoszcz.pl;1;0;0;0
493611;baginski.com.pl;1;0;0;0
493745;pogorskawolaszkola.cba.pl;1;0;0;0
493841;sianow.beep.pl;1;0;0;0
493897;konfex.xt.pl;1;0;0;0
494013;gim1.elk.edu.pl;1;0;0;0
494030;coolbobas.pl;1;0;0;0
494044;gimgalew.pl;1;0;0;0
494116;loyds.pl;1;0;0;0
494166;jarpol.pl;1;0;0;0
494201;fparts.pl;1;0;0;0
494206;educol.pl;1;0;0;1
494290;modelarz.com.pl;1;0;0;0
494362;ascomsun.pl;1;0;0;0
494515;pomoceszkolne.pl;1;0;0;0
494539;litworowystaw.pl;1;0;0;0
494566;magictraders.pl;1;0;0;0
494754;niegowic.edu.pl;1;0;0;0
494765;gim1.szkoly.lodz.pl;1;0;0;0
494804;gimnazjumkozmice.org;1;0;0;0
494819;suwalki.skwp.pl;1;0;0;0
494843;tomekpilarz.pl;1;0;0;0
494916;bambi-zabawki.pl;1;0;0;0
494946;mlynkarpnicki.pl;1;0;0;1
495072;geriatria.republika.pl;1;0;0;0
495081;crde.com;1;0;0;1
495090;jedraszek.pl;1;0;0;1
495210;metaloplastyka-kute.cba.pl;1;0;0;0
495217;angedesign.pl;1;0;0;0
495270;zso7gda.pl;1;0;0;0
495402;art-huma.com.pl;1;0;0;0
495543;gimdwaradzynpodl.republika.pl;1;0;0;0
495607;energocert.xt.pl;1;0;0;0
495759;gimplawo.pl;1;0;0;0
495777;zsosielec.za.pl;1;0;0;0
495831;gim1barlinek.edupage.org;1;0;0;0
495839;pgws.prv.pl;1;0;0;0
495923;szkolajazdy.biz;1;0;0;0
496072;gim1bialogard.edupage.org;1;0;0;0
496179;gimnazjum9.prv.pl;1;0;0;0
496194;gim46.edu.lodz.pl;1;0;0;0
496391;zsj.jaroslaw.pl;1;0;0;0
496420;gimkraj.neostrada.pl;1;0;0;0
496539;gimnazjum1lubon.pl.tl;1;0;0;0
496552;salon-beata.eu;1;0;0;0
496560;gimgg.gminaelblag.pl;1;0;0;0
496640;brzana.bobowa.pl;1;0;0;0
496773;zspjaktorow.pl;1;0;0;0
496782;gimnazjum2.bochnia.pl;1;0;0;1
496924;konnie-krzemieniewo.pl.tl;1;0;0;0
496970;gomunice.net;1;0;0;0
496981;gimnazjum10.nazwa.pl;1;0;0;0
497064;sklep-metka.pl;1;0;0;0
497088;sp-sobienie.pl;1;0;0;0
