"","id_domena","domena","czy_dziala","telefon","nip","krs","webEniro","webFachowcy","webCSGroup","PNA","version","sunrise","rzetelna","koszyk","data","facebook","instagram","linkedin","allegro","otomoto","googleplus","youtube","title","mail","ulica"
"1",487873,"magsped.4b.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","","","","","","",""," Internetowy Katalog Towarów i Usług 4b.pl ","",""
"2",487898,"lo1.olkusz.pl",1,"326431490","0","0",0,0,0,"60-691","2.3",0,0,0,"2017-11-11","https://pl-pl.facebook.com/lo1olkusz","NULL","NULL","NULL","NULL","NULL","NULL","I LO Olkusz","",""
"3",487901,"zajazdpiramida.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","","","","","","","","Piramida Club | Zajazd na Rozdrożu","","0"
"4",487960,"ksiezy-mlyn.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","https://www.facebook.com/wydarzeniaksiezymlyn","","","","","","","Księży Młyn.","","0"
"5",488028,"www.hurtowniaklaudia.pl",0,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","","","","","","","","","","0"
"6",488032,"galeriaaudio.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","","","","","","","","Galeria Audio - Twoje drzwi do świata HI-fI i Hi-End","",".box_skitter_large"
"7",488093,"malczewska.zawiercie.powiat.pl",1,"0","0","0",0,0,0,"17-190","2.3",0,0,0,"2017-11-11","https://www.facebook.com/pg/lomalczewska/photos/?tab=album&album_id=1920238741349962","NULL","NULL","NULL","NULL","NULL","NULL","Witaj na stronie startowej naszej szkoły","",""
"8",488146,"dpsojcow.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","","","","","","","","Dom Pomocy Społecznej – im. Św. Brata Alberta Zgromadzenie Braci Albertnów w Ojcowie ","",""
"9",488167,"globikowa.republika.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","NULL","NULL","NULL","NULL","NULL","NULL","NULL","","","0"
"10",488199,"zoska.waw.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","","","","","","","","","","0"
"11",488227,"clsmedia.pl",1,"600385163","0","0",0,0,0,"08-201","2.3",0,0,0,"2017-11-11","https://www.facebook.com/CLSMedia","NULL","NULL","NULL","NULL","https://plus.google.com/+ClsmediaPl/","NULL","CLS Media - Tworzymy Strony Internetowe - Świnoujście, Międzyzdroje","","adzwoń +"
"12",488245,"wielun.pcpr.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","NULL","NULL","NULL","NULL","NULL","NULL","NULL","ARCHIWISTYKA","","0"
"13",488278,"losokolka.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","","","","","","","","Edukacja w Sokółce","","0"
"14",488548,"antrakt.net",1,"691387867","0","0",0,0,0,"0","2.3",0,0,1,"2017-11-11","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Pracownia Antrakt – FIlmy ślubne","","Tadeusza Kościuszki"
"15",488586,"pro-marketing.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","","","","","","","","ProMarketing – Kreatywne rozwiązania marketingowe","","0"
"16",488632,"herbatkowo.com.pl",1,"691638977","6711528081","0",0,0,0,"71-795","2.3",0,0,1,"2017-11-11","","","","","","","","Yerba Mate - sklep z herbatami herbatkowo.com.pl","",""
"17",489035,"www.jedliniok.up.wroc.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","","","","","","","","Akademicki Zespół Pieśni i Tańca Jedliniok","","0"
"18",489050,"gim.luz.prv.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","","","","","","","","Niepubliczne Gimnazjum Łużyckie w Zgorzelcu","","0"
"19",489131,"izabelpark.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","https://pl-pl.facebook.com/pages/Izabelpark/113243935528393","","","","","","","Izabel park dmuchańce wynajem Kraków","",""
"20",489157,"trafika-raciborz.pl",0,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","","","","","","","","","","0"
"21",489200,"kajaki.pomorskie.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Wypożyczalnia kajaków - rzeka Wda, rzeka Radunia, rzeka Wierzyca","","0"
"22",489205,"8los.pl",1,"343642762","0","0",0,0,0,"42-202","2.3",0,0,0,"2017-11-11","NULL","NULL","NULL","NULL","NULL","NULL","NULL","","mailto:sekretariat@8los.pl","Worcella"
"23",489220,"sp1monki.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","","","","","","","","Przebudowa strony :::","","0"
"24",489358,"cavern.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Cavern - Internet Service Provider","","0"
"25",489380,"antoniow.com",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Pracownia Witraży Antoniów Beata i Marcin Chlebowscy | antoniow.pl","","0"
"26",489419,"wsieci.webfabryka.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","","","","","","","","","","0"
"27",489568,"zspsolec.neostrada.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Tu wpisz tytuł strony","","0"
"28",489597,"zslubowo.republika.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","","","","","","","","ZESPÓŁ SZKÓŁ W ŁUBOWIE","","0"
"29",489614,"ersrail.com",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","","","","","","","","ERS Railways","","0"
"30",489634,"zpokopanka.edupage.org",1,"122763224","9442010336","0",0,0,0,"32-050","2.3",0,0,0,"2017-11-11","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Zespół Placówek Oświatowych w Kopance im. Janusza Korczaka","","contactGadget li {margin:"
"31",489750,"negon.pl",0,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","","","","","","","","","","0"
"32",489755,"i-tel.pl",1,"323762002","0","0000272273",0,0,0,"0","2.3",0,0,0,"2017-11-11","","","","","","","",":: I-tel :: Internet, telefonia, ISDN","i-tel@i-tel.pl","Sitki"
"33",489848,"skygate.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","NULL","NULL","NULL","NULL","NULL","NULL","NULL","SkyGate Software House","","0"
"34",489944,"jubiler.sklep.pl",1,"523972783","0","0",0,0,0,"89-600","2.3",0,0,1,"2017-11-11","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Sklep jubiler Chojnice poleca; biżuteria złota, biżuteria srebra z bursztynem i korale,","","Gimnazjalna"
"35",489958,"rst.ng.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","NULL","NULL","NULL","NULL","NULL","NULL","NULL","","","0"
"36",489976,"transtelcom.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Poradnik o Zdrowiu i Seksie","",""
"37",489989,"lo2.olesnica.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","https://www.facebook.com/doChmur.olesnica/","NULL","NULL","NULL","NULL","NULL","NULL","II Liceum Ogólnokształcące im. Ks. Jana Twardowskiego w Oleśnicy","",""
"38",490018,"zstczeladz.prv.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","","","","","","","","zstczeladz","","0"
"39",490186,"e-muszla.pl",0,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","","","","","","","","","","0"
"40",490200,"purisgroup.com",1,"888401467","0","0",0,0,0,"88-401","2.3",0,0,0,"2017-11-11","","","","","","","","Welcome purisgroup.com - BlueHost.com","",""
"41",490228,"zsz-ozarow.prv.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","","","","","","","","Zespół Szkół w Ożarowie","","0"
"42",490324,"zs-skomlin.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","","","","","","","","Zyski z działalności gospodarczej - ZS-Skomlin","",""
"43",490488,"www.powiatlimanowa.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","NULL","NULL","NULL","NULL","NULL","https://plus.google.com/117072925656883581634","NULL","Powiat Limanowa - historia, ludzie, kultura","",""
"44",490521,"szkolasport.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","","","","","","","","Sportowa Szkoła Podstawowa im. Józefa Jaworskiego w Aleksandrowie Łódzkim","","0"
"45",490559,"netcorp.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","NULL","NULL","NULL","NULL","NULL","NULL","NULL","","","0"
"46",490606,"zszwierzyniec.wel.pl",1,"609569486","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","","","","","","","","Tani hosting dla firm i domeny internetowe","","0"
"47",490616,"zswj.yoyo.pl",0,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","","","","","","","","","","0"
"48",490683,"zs4ostrowiec.yoyo.pl",0,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","","","","","","","","","","0"
"49",490764,"consbud.eu",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","","","","","","","","Consbud","","0"
"50",490809,"episodio.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","NULL","NULL","NULL","NULL","NULL","https://plus.google.com/100650537653517265648","NULL","EPISODIO - Wideofilmowanie ślubów Wrocław","",""
"51",490821,"hathajoga.com",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Joga na Podhalu - Anna Wróbel Owsiak","","0"
"52",490879,"fantasy-shoes.pl",0,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","","","","","","","","","","0"
"53",490882,"dollinart.prv.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","","","","","","","","http://www.dollinart.prv.pl/","",""
"54",490914,"internet.piotrkow.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","NULL","NULL","NULL","NULL","NULL","NULL","NULL","","",""
"55",490980,"sportyflower.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","NULL","NULL","NULL","NULL","NULL","NULL","NULL","sportyflower zajecia sportowe urodziny dla dzieci","","0"
"56",491347,"budrex.sklep.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","","","","","","","","-","","0"
"57",492864,"zloteplyty.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","","","","","","","","ZŁOTE PŁYTY WINYLOWE - produkcja i sprzedaż","","0"
"58",492873,"domkinadsolina.bieszczadypolska.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","NULL","NULL","NULL","NULL","NULL","NULL","NULL","","","0"
"59",492913,"oprandi.pl",1,"223983941","1132694750","0",0,0,0,"04-048","2.3",0,0,0,"2017-11-11","NULL","NULL","NULL","NULL","NULL","NULL","NULL","agmk.net - Usługi informatyczne dla firm (Warszawa), hosting, strony www","mailto:agmk@agmk.net","Kompasowa"
"60",493021,"napierala.com.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","","","","","","","","","","0"
"61",493071,"pixent.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","","","","","","","","O stronach internetowych","",""
"62",493099,"zsryjewo.prv.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","","","","","","","","Zespół Szkół w Ryjewie","","0"
"63",493123,"bohema.art.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","NULL","NULL","NULL","NULL","NULL","NULL","NULL",":: www.bohema.art.pl ::","","0"
"64",493135,"gimpiensk.home.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","https://pl-pl.facebook.com/pages/Gimnazjum-im-o-Micha%C5%82a-Tomaszka-w-Pie%C5%84sku/522094621207581","NULL","NULL","NULL","NULL","https://plus.google.com/photos/116315386048533730421/albums","http://www.youtube.com/user/TVTZgorzelec","gimpiensk - News","",""
"65",493136,"gim2kostrzyn.republika.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","","","","","","","","index.html","","0"
"66",493195,"nasze-gim.yoyo.pl",0,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-11","","","","","","","","","","0"
