"","id_domena","domena","czy_dziala","telefon","nip","krs","webEniro","webFachowcy","webCSGroup","PNA","version","sunrise","rzetelna","koszyk","data","facebook","instagram","linkedin","allegro","otomoto","googleplus","youtube","title","mail","ulica"
"1",1681945,"wign.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","","","","","","","","SignWo is closed preliminary!","","0"
"2",1681988,"woot.pl",0,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","","","","","","","","","","0"
"3",1682004,"wppm.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","","","","","","","","Twoja Strona Starowa - Wppm.pl","",""
"4",1682050,"wwrp.com.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Strona domeny wwrp.com.pl","","0"
"5",1682059,"wymy.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","","","","","","","","WyMy - strony dopasowane do potrzeb","","0"
"6",1682065,"xab.pl",0,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","","","","","","","","","","0"
"7",1682068,"xbe.pl",0,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","","","","","","","","","","0"
"8",1682079,"xdl.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","","","","","","","","xdl.pl","","0"
"9",1682094,"xfs.pl",0,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","","","","","","","","","","0"
"10",1682129,"xool.pl",0,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","","","","","","","","","","0"
"11",1682155,"xte.pl",0,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","","","","","","","","","","0"
"12",1682185,"ybc.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","NULL","NULL","NULL","NULL","NULL","NULL","NULL"," ybc.pl ","","0"
"13",1682189,"ybry.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","","","","","","","","ybry.pl","","0"
"14",1682211,"yjsk.pl",0,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","","","","","","","","","","0"
"15",1682230,"ysu.pl",0,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","","","","","","","","","","0"
"16",1682243,"yvoo.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","","","","","","","","","","0"
"17",1682275,"zent.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","NULL","NULL","NULL","NULL","NULL","NULL","NULL","ZenT","","0"
"18",1682298,"ziy.pl",0,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","","","","","","","","","","0"
"19",1682305,"zln.pl",0,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","","","","","","","","","","0"
"20",1682342,"zqv.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","","","","","","","","Strona główna - ZQV","",""
"21",1682347,"zsjz.com.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","","","","","","","","zsjz.com.pl","",""
"22",1682800,"nivettedevelopment.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","","","","","","","","","mailto:sprzedaz@nivettedevelopment.pl","0"
"23",1682950,"steinel.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","","","","","","","","","","0"
"24",1682959,"kaijudo.pl",0,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","","","","","","","","","","0"
"25",1682976,"viamare.pl",1,"226702253","5242676821","0000328988",0,0,0,"05-082","2.3",0,0,0,"2017-11-06","https://www.facebook.com/pages/accs.waw/685726411446777","https://www.instagram.com/accsspzoo/","","","","","https://www.youtube.com/channel/UCGoxkFRkm_UqJkjn3msORHQ"," Kajaki dmuchane, pontony - Viamare - supboardy i akcesoria ","","Fortowa"
"26",1682980,"hispeed.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","","","","","","","","HiSpeed.pl | tvkHel.pl | Helski Operator Telekomunikacyjny","",""
"27",1683010,"bremann.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","","","","","","","","BREMANN","",""
"28",1683014,"mdksoft.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","NULL","NULL","NULL","NULL","NULL","NULL","NULL","MDK Soft","","if (AC_FL_RunContent =="
"29",1683038,"sprogowa.pl",1,"833129636","8331296369","0",0,0,0,"95-063","2.3",0,0,0,"2017-11-06","","","","","","","","STONA GŁÓWNA - STOWARZYSZENIE PRZYJACIÓŁ ROGOWA","","Akademicka"
"30",1683053,"itechday.pl",0,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","","","","","","","","","","0"
"31",1683137,"psiebiegi.pl",1,"693230583","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","https://www.facebook.com/pages/psiebiegipl/966138636742867?fref=ts","","","","","","","Psiebiegi.pl","","Kornela Makuszyńskiego"
"32",1683157,"plywaczek.eu",1,"503890205","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Pływaczek - Aktualności","","            "
"33",1683285,"nordea-ofe.pl",0,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","","","","","","","","","","0"
"34",1683353,"wikiwydawcy.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","","","","","","","","Wydawca książek oraz wydawnictwa w Polsce","",""
"35",1683389,"phu-pc-help.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","","","","","","","","PC-HELP","","0"
"36",1683444,"domybilgoraj.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","","","","","","","","domybilgoraj.pl","","0"
"37",1683445,"sklep.matech.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","NULL","NULL","NULL","NULL","NULL","NULL","NULL","","","0"
"38",1683485,"kambodza.com.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","","","","","","","","","","0"
"39",1683493,"pawelmarcjan.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","","","","","","","","Avvocato | Usługi prawne – blog","",""
"40",1683555,"nowapiosenka.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","https://www.facebook.com/nowapiosenkapl/?fref=ts","","","","","","","NowaPiosenka.pl - Najnowsze Piosenki","@interia.pl","Portal z nowymi piosenkami. Nowości muzyczne"
"41",1683570,"zamowstronke.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Przerwa techniczna – zamowstronke.pl","","0"
"42",1683597,"wmiedzyczasie.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","","","","","","","","","","0"
"43",1683643,"tomasz-ochyra.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","NULL","NULL","NULL","NULL","NULL","NULL","NULL","www.tomasz-ochyra.pl","","0"
"44",1683669,"equinoxpolska.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","","","","","","","","","","0"
"45",1683672,"polskiehawaje.pl",1,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","https://www.facebook.com/profile.php?id=100004580057261","","","","","","","Prognoza falowania morza Bałtyckiego - Polskie Hawaje","",""
"46",1683686,"martakosinska.pl",0,"0","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","","","","","","","","","","0"
"47",1683702,"doplatydoszkod.pl",1,"732555455","0","0",0,0,0,"0","2.3",0,0,0,"2017-11-06","","","","","","","","Strona główna","",""
