id_domena;domena;czy_linki;czy_telefon;czy_mail;czy_facebook
1586796;falowski.com.pl;1;0;0;0
1586808;fantasmagoria.com.pl;1;0;0;0
1586916;fetch.pl;1;0;0;0
1586932;fidlerstudio.com.pl;1;0;0;0
1586940;fighter.com.pl;1;0;0;0
1587000;fiskalne.com.pl;1;0;0;0
1587009;fita.com.pl;1;0;0;0
1587029;fizjo-lena.pl;1;0;0;0
1587068;flo.com.pl;1;0;0;0
1587082;florina-art.pl;1;0;0;0
1587123;folwarczny.com.pl;1;0;0;0
1587127;fonokaj.com.pl;1;0;0;0
1587195;fotomaj.com.pl;1;0;0;0
1587250;frea.com.pl;1;0;0;0
1587270;friend.com.pl;1;0;0;0
1587317;fundusze.com.pl;1;0;0;0
1587326;furniture.com.pl;1;0;0;0
1587349;gabber.pl;1;0;0;0
1587359;gabryelski.com.pl;1;0;0;0
1587451;gargala.com.pl;1;0;0;0
1587460;garsonki.com.pl;1;0;0;0
1587483;gastro-pizza.pl;1;0;0;0
1587486;gata.com.pl;1;0;0;0
1587618;gfh.com.pl;1;0;0;0
1587650;gik.com.pl;1;0;0;0
1587654;gimex.com.pl;1;0;0;0
1587661;gipfel.com.pl;1;0;0;0
1587666;girt.pl;1;0;0;0
1587667;giszowiec.com.pl;1;0;0;0
1587695;gleboznawca.pl;1;0;0;0
1587697;glimmer.com.pl;1;0;0;0
1587699;glinicki.com.pl;1;0;0;0
1587731;gluzmen.pl;1;0;0;1
1587758;gocha.com.pl;1;0;0;0
1587811;golema.com.pl;1;0;0;0
1587815;golinski.com.pl;1;0;0;0
1587829;go-mar.com.pl;1;0;0;0
1587889;gospodarki.com.pl;1;0;0;0
1587940;grad.com.pl;1;0;0;0
1587954;graficzne.com.pl;1;0;0;0
1587958;grafion.com.pl;1;0;0;0
1587962;grafologiczne.com.pl;1;0;0;0
1587964;grafoskop.pl;1;0;0;0
1587977;gramolajf.pl;1;0;0;0
1588000;grawitor.pl;1;0;0;0
1588058;grochowska.com.pl;1;0;0;0
1588087;ground.com.pl;1;0;0;0
1588131;grzonka.com.pl;1;0;0;0
1588148;gtf.com.pl;1;0;0;0
1588162;guliwer.com.pl;1;0;0;0
1588169;gurda.com.pl;1;0;0;0
1588171;gurgul.com.pl;1;0;0;0
1588175;gutek.com.pl;1;0;0;0
1588194;gyurkovich.com.pl;1;0;0;0
1588218;haczyk.com.pl;1;0;0;0
1588253;halicz.com.pl;1;0;0;0
1588264;halwa.com.pl;1;0;0;0
1588295;hansoft.com.pl;1;0;0;0
1588349;heir.com.pl;1;0;0;0
1588350;heit.pl;1;0;0;0
1588384;henderson.com.pl;1;0;0;0
1588385;hendrykowski.pl;1;0;0;0
1588420;hezner.com.pl;1;0;0;0
1588470;hnm.com.pl;1;0;0;0
1588471;hobora.pl;1;0;0;0
1588522;homes.com.pl;1;0;0;0
1588539;hoqs.pl;1;0;0;0
1588573;hovanes.pl;1;0;0;0
1588606;hurtownia.com.pl;1;0;0;0
1588608;hus.com.pl;1;0;0;0
1588675;idave.pl;1;0;0;0
1588681;ideas4net.pl;1;0;0;0
1588704;ignaciuk.com.pl;1;0;0;0
1588764;import.com.pl;1;0;0;0
1588771;imprez.com.pl;1;0;0;0
1588776;improvement.com.pl;1;0;0;0
1588784;in-city.pl;1;0;0;0
1588791;incubeware.pl;1;0;0;0
1588800;induforce.com.pl;1;0;0;0
1588814;infide.pl;1;0;0;0
1588828;infomag.com.pl;1;0;0;0
1588836;informatikon.com.pl;1;0;0;0
1588888;inspirato.pl;1;0;0;0
1588889;inspirator.com.pl;1;0;0;0
1588892;instalacje.com.pl;1;0;0;0
1588978;inventiv.com.pl;1;0;0;0
1588987;invest-max.com.pl;1;0;0;0
1588996;invictus.com.pl;1;0;0;0
1589034;irc.com.pl;1;0;0;0
1589054;i-sound.pl;1;0;0;0
1589061;ister.com.pl;1;0;0;0
1589163;jaciw.pl;1;0;0;0
1589179;jadacki.com.pl;1;0;0;0
1589188;jagielnicki.com.pl;1;0;0;1
1589302;jarosinski.com.pl;1;0;0;0
1589322;jaskulski.com.pl;1;0;0;0
1589377;jedrzejczak.com.pl;1;0;0;0
1589381;jedzenie.com.pl;1;0;0;0
1589415;jezewskiego.pl;1;0;0;0
1589423;jezyki.com.pl;1;0;0;0
1589428;jjparts.pl;1;0;0;0
1589430;jjworkshop.pl;1;0;0;1
1589460;jonderko.com.pl;1;0;0;0
1589492;judaeorum.pl;1;0;0;0
1589509;juna.com.pl;1;0;0;0
1589541;justinglish.pl;1;0;0;0
1589583;kadius.pl;1;0;0;1
1589602;kahix.pl;1;0;0;0
1589654;kaltech.com.pl;1;0;0;0
1589657;kaluziak.com.pl;1;0;0;0
1589662;kalwig.pl;1;0;0;1
1589669;kameb.com.pl;1;0;0;0
1589687;kamo-filters.pl;1;0;0;0
1589689;kampeki.com.pl;1;0;0;0
1589717;kantylena.pl;1;0;0;0
1589733;kapusta.com.pl;1;0;0;0
1589764;karibe.pl;1;0;0;0
1589786;karo-catering.pl;1;0;0;0
1589796;karpala.com.pl;1;0;0;0
1589869;katy.com.pl;1;0;0;0
1589874;kawalerka.com.pl;1;0;0;0
1589907;kd.com.pl;1;0;0;0
1589912;kebabki.pl;1;0;0;1
1590090;klementowicz.com.pl;1;0;0;0
1590112;klimedsoft.pl;1;0;0;0
1590140;kluczbork.com.pl;1;0;0;0
1590146;kluz.com.pl;1;0;0;0
1590159;kn.com.pl;1;0;0;0
1590212;kochanowka.com.pl;1;0;0;0
1590224;kocur.com.pl;1;0;0;0
1590240;kohler.com.pl;1;0;0;0
1590265;kolczyk.com.pl;1;0;0;0
1590277;kolibecka.com.pl;1;0;0;0
1590279;koll.com.pl;1;0;0;0
1590289;koloreks.pl;1;0;0;0
1590329;komorkowy.com.pl;1;0;0;0
1590364;kon.com.pl;1;0;0;0
1590386;konferencyjna.com.pl;1;0;0;0
1590483;kornowski.com.pl;1;0;0;0
1590515;koscinski.com.pl;1;0;0;0
1590534;kosma.com.pl;1;0;0;0
